food_name,calories_per_100g,protein_g,carbs_g,fat_g
Rice (cooked),130,2.7,28.0,0.3
Chapati,120,3.0,18.0,3.0
Parotta,300,6.0,45.0,10.0
Idli,146,4.0,28.0,0.4
Dosa,168,4.5,30.0,4.0
Upma,210,5.0,30.0,7.0
Egg (boiled),155,13.0,1.1,11.0
Egg omelette,154,11.0,2.0,12.0
Chicken breast,165,31.0,0.0,3.6
Chicken curry,240,18.0,6.0,16.0
Fish curry,180,22.0,4.0,8.0
Paneer,265,18.0,1.2,20.0
Milk,42,3.4,5.0,1.0
Curd,59,3.1,4.0,3.3
Dal (lentils),116,9.0,20.0,0.4
Chickpeas (boiled),164,9.0,27.0,2.6
Potato (boiled),87,1.9,20.0,0.1
Tomato,18,0.9,3.9,0.2
Carrot,41,0.9,10.0,0.2
Apple,52,0.3,14.0,0.2
Banana,89,1.1,23.0,0.3
Orange,47,0.9,12.0,0.1
Tea (with sugar),43,0.0,10.0,0.0
Coffee (with sugar),60,0.1,12.0,1.0
Biscuits,450,6.0,75.0,15.0
Samosa,262,5.0,32.0,13.0
Vegetable biryani,200,5.0,30.0,7.0
Chicken biryani,250,15.0,28.0,9.0
Fish fry,275,20.0,7.5,18.0
Medu Vada,322,8.0,38.0,15.0
Pongal,180,5.0,28.0,6.0
Puttu,170,4.0,35.0,1.5
Appam,180,4.0,36.0,2.0
Idiyappam,150,3.0,32.0,1.0
Kerala Parotta,310,7.0,46.0,11.0
Pesarattu,190,10.0,28.0,4.0
Rava Dosa,200,5.0,32.0,6.0
Onion Uttapam,190,6.0,30.0,5.0
Tomato Uttapam,175,5.5,28.0,4.5
Rava Idli,160,5.0,28.0,3.0
Set Dosa,200,5.0,33.0,5.0
Neer Dosa,130,3.0,27.0,1.0
Paniyaram,230,6.0,30.0,9.0
Kozhukattai,155,3.0,32.0,1.5
Thattai,430,7.0,60.0,18.0
Murukku,490,7.0,65.0,22.0
Ribbon Pakoda,470,8.0,60.0,21.0
Seedai,460,7.0,62.0,19.0
Sambar,60,3.5,8.0,1.5
Rasam,25,1.2,4.0,0.5
Avial,130,3.0,12.0,7.0
Kootu,120,5.0,14.0,5.0
Poriyal (mixed veg),80,2.5,10.0,3.5
Mor Kuzhambu,70,3.0,7.0,3.0
Puliyodarai (Tamarind rice),220,4.0,38.0,6.0
Lemon Rice,200,4.0,35.0,5.0
Curd Rice,150,4.0,27.0,3.0
Tomato Rice,210,4.0,37.0,5.5
